memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
1316,2,Deputy Speaker (Lords),1093,2008-12-18T00:00:00,2015-05-23T00:00:00,,
1360,1,"Chair, Parliamentary Labour Party",758,1979-05-05T00:00:00,1981-10-01T00:00:00,,
1366,1,"Chair, Parliamentary Labour Party",758,1974-03-01T00:00:00,1974-10-10T00:00:00,,
1366,1,"Party Chair, Labour Party",808,1970-07-01T00:00:00,1971-07-01T00:00:00,,
1366,1,"Member, Labour Party National Executive Committee",803,1950-07-01T00:00:00,1978-07-01T00:00:00,,
1398,,"Member, Labour Party National Executive Committee",803,1994-08-01T00:00:00,1998-07-31T00:00:00,,
1405,1,"Vice-Chair, Conservative Party",823,2016-07-15T00:00:00,2017-05-03T00:00:00,,
1410,,"Member, Labour Party National Executive Committee",803,1993-07-01T00:00:00,2001-07-01T00:00:00,,
1423,1,Leader of the Conservative Party,787,2019-07-23T00:00:00,2022-09-05T00:00:00,,
1423,1,Mayor of London,802,2008-05-02T00:00:00,2016-05-05T00:00:00,,
1423,1,"Vice-Chair, Conservative Party",823,2003-07-01T00:00:00,2004-07-01T00:00:00,,
1426,1,"Vice-Chair, Conservative Party",823,2003-07-01T00:00:00,2005-07-01T00:00:00,,
1427,,Mayor of Greater Manchester,1102,2017-05-08T00:00:00,,,
1431,1,Chair of the Liberal Democrat Parliamentary Party,1087,2013-06-05T00:00:00,2015-03-30T00:00:00,,
1433,1,"Deputy Leader, Scottish National Party",1097,2016-10-13T00:00:00,2017-05-03T00:00:00,,
1447,1,"Co Chair, British-Irish Parliamentary Assembly",1115,2016-07-04T00:00:00,2022-10-11T00:00:00,,
1447,1,NATO Parliamentary Assembly UK Delegation,1085,2015-11-23T00:00:00,2019-11-06T00:00:00,,
1447,1,"Vice-Chair, Conservative Party",823,2004-07-01T00:00:00,2005-07-01T00:00:00,,
1453,1,Second Church Estates Commissioner,1114,2020-01-10T00:00:00,,,
1463,1,"Party Chair, Labour Party",808,2015-09-12T00:00:00,2017-06-14T00:00:00,,
1463,1,Deputy Leader of the Labour Party,770,2015-09-12T00:00:00,2019-11-06T00:00:00,,
