memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
389,1.0,Parliamentary Under-Secretary (Department of Health),447,2005-05-10T00:00:00,2006-05-05T00:00:00,Department of Health,http://www.dh.gov.uk
389,1.0,Parliamentary Under-Secretary (Home Office),532,2003-06-13T00:00:00,2005-05-10T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
390,1.0,"Minister of State (Department for Business, Innovation and Skills) (Regional Economic Development and Co-ordination); (also in the Department for Communities and Local Government)",298,2009-06-09T00:00:00,2010-05-06T00:00:00,"Department for Business, Innovation and Skills",https://www.gov.uk/government/organisations/department-for-business-innovation-skills
390,1.0,"Minister of State (Department for Communities and Local Government) (Local Government) (also in the Department for Business, Innovation and Skills)",282,2009-06-09T00:00:00,2010-05-06T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
390,1.0,Minister of State (Department for Work and Pensions) (Pensions Reform) and Minister (Yorkshire and the Humber),291,2008-10-05T00:00:00,2009-06-05T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
390,1.0,Minister of State (Regional Affairs) (Yorkshire and the Humber),193,2008-01-10T00:00:00,2010-05-06T00:00:00,Regional Affairs,
390,1.0,Minister of State (Department for Transport),209,2007-06-29T00:00:00,2008-10-05T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
390,1.0,Minister of State (Department of Health) (Health Services),260,2003-06-13T00:00:00,2007-06-28T00:00:00,Department of Health,http://www.dh.gov.uk
390,1.0,Parliamentary Secretary (Lord Chancellor's Department),455,2001-06-11T00:00:00,2003-06-13T00:00:00,Lord Chancellor's Department,http://www.lcd.gov.uk
391,1.0,Assistant Whip (HM Treasury),351,1997-05-08T00:00:00,2001-06-07T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
393,1.0,Minister of State (Europe),125,2002-10-28T00:00:00,2005-05-10T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
393,1.0,Parliamentary Under-Secretary (Foreign and Commonwealth Office),395,2001-06-11T00:00:00,2002-10-28T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
394,1.0,Lord Commissioner (HM Treasury) (Whip),350,1998-07-28T00:00:00,2001-06-07T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
394,1.0,Assistant Whip (HM Treasury),351,1997-05-08T00:00:00,1998-07-28T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
395,1.0,Secretary of State for Work and Pensions,744,2005-05-06T00:00:00,2005-11-02T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
395,1.0,Home Secretary,74,2001-06-08T00:00:00,2004-12-15T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
395,1.0,Secretary of State for Education and Employment,468,1997-05-01T00:00:00,2001-06-08T00:00:00,Department for Education and Employment,
396,1.0,"Minister of State (Department for Culture, Media and Sport) (Tourism)",179,2003-06-13T00:00:00,2005-05-01T00:00:00,"Department for Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport
396,1.0,"Minister of State (Department for Culture, Media and Sport) (Sport)",156,2001-06-11T00:00:00,2007-06-28T00:00:00,"Department for Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport
396,1.0,Minister of State (Department of Trade and Industry),413,1999-07-29T00:00:00,2001-06-07T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
396,1.0,"Minister of State (Department for Environment, Transport and the Regions) (The Regions)",175,1997-05-06T00:00:00,1999-07-28T00:00:00,"Department of the Environment, Transport and the Regions",
400,1.0,Minister of State (Department for Communities and Local Government) (Housing),267,2009-06-05T00:00:00,2010-05-06T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
400,1.0,Minister of State (Department of Communities and Local Government) (Local Government),281,2007-06-29T00:00:00,2009-06-05T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
400,1.0,Financial Secretary (HM Treasury),348,2005-05-10T00:00:00,2007-06-28T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
400,1.0,Economic Secretary (HM Treasury),346,2002-05-30T00:00:00,2005-05-10T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
400,1.0,Parliamentary Under-Secretary (Department for Education and Skills),489,2001-06-11T00:00:00,2002-05-30T00:00:00,Department for Education and Skills,http://www.dfes.gov.uk
403,1.0,"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Sport)",621,2007-06-29T00:00:00,2010-05-06T00:00:00,"Department for Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport
403,1.0,Parliamentary Under-Secretary (Ministry of Justice),540,2007-05-09T00:00:00,2007-06-28T00:00:00,Ministry of Justice,https://www.gov.uk/government/organisations/ministry-of-justice
403,1.0,Parliamentary Under-Secretary (Home Office),366,2006-05-05T00:00:00,2007-05-08T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
403,1.0,Parliamentary Under-Secretary (Trade and Industry) (Employment Relations and Consumer Affairs),582,2003-06-13T00:00:00,2006-05-05T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
403,1.0,"Vice Chamberlain (HM Household) (Whip, House of Commons)",753,2001-06-11T00:00:00,2003-06-13T00:00:00,HM Household,
403,1.0,Assistant Whip (HM Treasury),351,1999-07-29T00:00:00,2001-06-07T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
407,2.0,Parliamentary Under-Secretary (Defence and Security) (also in the Ministry of Defence),571,2009-06-08T00:00:00,2010-05-06T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
407,2.0,Parliamentary Under-Secretary (Ministry of Defence) (International Defence and Security) (also in Foreign and Commonwealth Office),594,2008-10-05T00:00:00,2010-05-06T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
407,2.0,Parliamentary Under-Secretary (Ministry of Defence) (Procurement),573,2007-11-07T00:00:00,2008-10-05T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
407,1.0,Parliamentary Secretary to the Treasury (Chief Whip),523,1998-07-27T00:00:00,2001-06-07T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
407,1.0,Lord President of the Council and Leader of the House of Commons (Privy Council Office),95,1997-05-03T00:00:00,1998-07-26T00:00:00,Privy Council Office,http://privycouncil.independent.gov.uk/
407,1.0,Assistant Whip (HM Treasury),351,1977-01-19T00:00:00,1979-05-04T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
413,1.0,"Secretary of State for Environment, Food and Rural Affairs",704,2007-06-28T00:00:00,2010-05-06T00:00:00,"Department for Environment, Food and Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
413,1.0,Secretary of State for International Development,716,2003-10-06T00:00:00,2007-06-28T00:00:00,Department for International Development,http://www.dfid.gov.uk
413,1.0,Minister of State (Department for International Development),496,2003-05-13T00:00:00,2003-10-06T00:00:00,Department for International Development,http://www.dfid.gov.uk
413,1.0,Parliamentary Under-Secretary (Home Office) (Minister for Prisons and Probation),601,2002-05-29T00:00:00,2003-05-13T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
413,1.0,Parliamentary Under-Secretary (Department for International Development),474,2001-06-11T00:00:00,2002-05-28T00:00:00,Department for International Development,http://www.dfid.gov.uk
