BillID,id,stageId,sessionId,description,abbreviation,house,stageSittings,sortOrder
511,2636.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2566, 'stageId': 6, 'billStageId': 2636, 'billId': 511, 'date': '2009-07-16T00:00:00'}]",1.0
511,13377.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
512,2644.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2567, 'stageId': 6, 'billStageId': 2644, 'billId': 512, 'date': '2009-07-20T00:00:00'}]",1.0
512,2645.0,7.0,22.0,2nd reading,2R,Commons,"[{'id': 2568, 'stageId': 7, 'billStageId': 2645, 'billId': 512, 'date': '2009-10-20T00:00:00'}]",2.0
512,2685.0,14.0,22.0,Programme motion,PM,Commons,"[{'id': 2569, 'stageId': 14, 'billStageId': 2685, 'billId': 512, 'date': '2009-10-20T00:00:00'}]",3.0
512,2686.0,15.0,22.0,Money resolution,MR,Commons,"[{'id': 2570, 'stageId': 15, 'billStageId': 2686, 'billId': 512, 'date': '2009-10-20T00:00:00'}]",4.0
512,2687.0,18.0,22.0,Carry-over motion,CM,Commons,"[{'id': 2571, 'stageId': 18, 'billStageId': 2687, 'billId': 512, 'date': '2009-10-20T00:00:00'}]",5.0
512,2736.0,14.0,22.0,Programme motion,PM,Commons,"[{'id': 2572, 'stageId': 14, 'billStageId': 2736, 'billId': 512, 'date': '2009-11-03T00:00:00'}]",6.0
512,2737.0,8.0,22.0,Committee stage,CS,Commons,"[{'id': 2573, 'stageId': 8, 'billStageId': 2737, 'billId': 512, 'date': '2009-11-03T00:00:00'}, {'id': 2574, 'stageId': 8, 'billStageId': 2737, 'billId': 512, 'date': '2009-11-04T00:00:00'}]",7.0
512,2796.0,6.0,23.0,1st reading,1R,Commons,"[{'id': 2652, 'stageId': 6, 'billStageId': 2796, 'billId': 512, 'date': '2009-11-19T00:00:00'}]",8.0
512,2824.0,7.0,23.0,2nd reading,2R,Commons,"[{'id': 2653, 'stageId': 7, 'billStageId': 2824, 'billId': 512, 'date': '2009-11-19T00:00:00'}]",9.0
